palavra,categoria gramatical,fonética
a,artigo,ɐ
a,preposição,ɐ
á-bê-cê,nome masculino,ˌa.bˌe.sˈe
a-pro·pó·si·to,nome masculino,ɐ.pɾu.pˈɔ.zi.tu
à-von·ta·de,nome masculino,ˌa.võ.tˈa.dɨ
a·a,nome feminino,a.ˈa
a·al,nome masculino,a.ˈaɫ
ab-re·a·ti·vo,adjetivo,ɐb.ʀjɐ.tˈi.vu
ab-ro·ga·do,adjetivo,ɐb.ʀu.gˈa.du
ab-ro·ga·dor,adjetivo,ɐb.ʀu.gɐ.dˈoɾ
ab-ro·ga·dor,nome masculino,ɐb.ʀu.gɐ.dˈoɾ
ab-ro·gar,verbo,ɐb.ʀu.gˈaɾ
ab-ro·ga·tó·ri·o,adjetivo,ɐb.ʀu.gɐ.tˈɔ.ɾju
a·ba,nome masculino,ˈa.bɐ
a·ba,nome feminino,ˈa.bɐ
a·ba·can·to,nome masculino,ɐ.bɐ.kˈɐ̃.tu
a·ba·ca·te,adjetivo,ɐ.bɐ.kˈa.tɨ
a·ba·ca·te,nome masculino,ɐ.bɐ.kˈa.tɨ
a·ba·ca·te,nome feminino,ɐ.bɐ.kˈa.tɨ
a·ba·ca·xi,adjetivo,ɐ.bɐ.kɐ.ʃˈi
a·ba·ca·xi,nome masculino,ɐ.bɐ.kɐ.ʃˈi
a·ba·ci·al,adjetivo,ɐ.bɐ.sjˈaɫ
á·ba·co,nome masculino,ˈa.bɐ.ku
a·ba·da,nome feminino,ɐ.bˈa.dɐ
a·ba·dá·gi·o,nome masculino,ɐ.bɐ.dˈa.ʒju
a·ba·dar,verbo,ɐ.bɐ.dˈaɾ
a·ba·de,nome masculino,ɐ.bˈa.dɨ
a·ba·de·jo,nome masculino,ɐ.bɐ.dˈɐ.ʒu
a·ba·des·sa,nome feminino,ɐ.bɐ.dˈe.sɐ
a·ba·des·sar,verbo,ɐ.bɐ.dɨ.sˈaɾ
a·ba·di·a,nome feminino,ɐ.bɐ.dˈi.ɐ
a·ba·di·a·do,nome masculino,ɐ.bɐ.djˈa.du
a·ba·di·ar,verbo,ɐ.bɐ.djˈaɾ
a·ba·dir,nome masculino,ɐ.bɐ.dˈiɾ
a·ba·do,adjetivo,ɐ.bˈa.du
a·ba·fa·da·men·te,advérbio,ɐ.bɐ.fɐ.dɐ.mˈẽ.tɨ
a·ba·fa·do,adjetivo,ɐ.bɐ.fˈa.du
a·ba·fa·do,nome masculino,ɐ.bɐ.fˈa.du
a·ba·fa·dor,nome masculino,ɐ.bɐ.fɐ.dˈoɾ
a·ba·fa·dor,adjetivo,ɐ.bɐ.fɐ.dˈoɾ
a·ba·fa·men·to,nome masculino,ɐ.bɐ.fɐ.mˈẽ.tu
a·ba·fan·te,adjetivo,ɐ.bɐ.fˈɐ̃.tɨ
a·ba·far,nome masculino,ɐ.bɐ.fˈaɾ
a·ba·far,verbo,ɐ.bɐ.fˈaɾ
a·ba·fá·vel,adjetivo,ɐ.bɐ.fˈa.vɛɫ
a·ba·fo,nome masculino,ɐ.bˈa.fu
a·bai·xa,nome feminino,ɐ.bˈaj.ʃɐ
a·bai·xa·do,adjetivo,ɐ.bɐj.ʃˈa.du
a·bai·xa·men·to,nome masculino,ɐ.bɐj.ʃɐ.mˈẽ.tu
a·bai·xar,verbo,ɐ.bɐj.ʃˈaɾ
a·bai·xo,advérbio,ɐ.bˈaj.ʃu
a·bai·xo-as·si·na·do,nome masculino,ɐ.bˌaj.ʃu.ɐ.si.nˈa.du
a·ba·jou·ja·do,adjetivo,ɐ.bɐ.ʒo.ʒˈa.du
a·ba·jou·jar,verbo,ɐ.bɐ.ʒo.ʒˈaɾ
a·ba·jur,nome masculino,ɐ.bɐ.ʒˈuɾ
a·ba·la·da,nome feminino,ɐ.bɐ.lˈa.dɐ
a·ba·la·do,adjetivo,ɐ.bɐ.lˈa.du
a·ba·lan·ça·do,adjetivo,ɐ.bɐ.lɐ̃.sˈa.du
a·ba·lan·çar,verbo,ɐ.bɐ.lɐ̃.sˈaɾ
a·ba·lar,verbo,ɐ.bɐ.lˈaɾ
a·bal·ça·do,adjetivo,ɐ.baɫ.sˈa.du
a·bal·çar,verbo,ɐ.baɫ.sˈaɾ
a·ba·li·e·na·ção,nome feminino,ɐ.bɐ.lje.na.sˈɐ̃w
a·ba·li·e·na·do,adjetivo,ɐ.bɐ.lje.nˈa.du
a·ba·li·e·nar,verbo,ɐ.bɐ.lje.nˈaɾ
a·ba·li·e·ná·vel,adjetivo,ɐ.bɐ.lje.nˈa.vɛɫ
a·ba·lis·tar,verbo,ɐ.bɐ.liʃ.tˈaɾ
a·ba·li·za·da·men·te,advérbio,ɐ.bɐ.li.zɐ.dɐ.mˈẽ.tɨ
a·ba·li·za·do,adjetivo,ɐ.bɐ.li.zˈa.du
a·ba·li·zar,verbo,ɐ.bɐ.li.zˈaɾ
a·ba·lo,nome masculino,ɐ.bˈa.lu
a·ba·lo·ne,nome masculino,ɐ.bɐ.lˈɔ.nɨ
a·bal·ro·a,nome feminino,ɐ.baɫ.ʀˈo.ɐ
a·bal·ro·a·da,nome feminino,ɐ.baɫ.ʀwˈa.dɐ
